HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
Nice,Lille,1,1,D,1,0,H,8,12,3,5,13,9,3,3,3,2,0,0
Marseille,Reims,2,1,H,1,1,D,14,11,4,4,7,16,10,10,1,3,0,0
Paris SG,Lorient,0,0,D,0,0,D,20,4,4,0,8,6,9,2,0,0,0,0
Brest,Lens,3,2,H,1,2,A,15,10,8,2,13,15,6,8,2,3,0,1
Clermont,Monaco,2,4,A,1,2,A,15,14,7,8,7,16,6,2,0,4,0,0
Montpellier,Le Havre,2,2,D,0,1,A,15,12,5,4,8,12,5,2,1,2,0,0
Nantes,Toulouse,1,2,A,1,0,H,9,9,4,5,14,14,7,5,2,2,0,0
Rennes,Metz,5,1,H,1,1,D,29,9,14,3,7,10,5,4,0,2,0,0
Strasbourg,Lyon,2,1,H,0,0,D,8,23,2,7,8,11,1,6,2,2,0,0
Metz,Marseille,2,2,D,0,1,A,10,22,5,5,15,9,4,9,3,2,1,0
Lyon,Montpellier,1,4,A,0,2,A,7,14,3,8,20,10,6,2,4,1,1,0
Toulouse,Paris SG,1,1,D,0,0,D,8,16,2,3,8,11,5,5,0,3,0,0
Lille,Nantes,2,0,H,0,0,D,18,14,8,4,8,15,7,5,0,2,1,0
Le Havre,Brest,1,2,A,0,1,A,18,10,7,5,18,15,5,3,0,2,0,0
Lorient,Nice,1,1,D,0,0,D,9,21,2,8,8,10,0,9,1,1,0,0
Reims,Clermont,2,0,H,1,0,H,8,11,4,4,9,6,3,10,0,0,0,0
Monaco,Strasbourg,3,0,H,2,0,H,9,4,4,1,19,16,4,3,2,1,0,0
Lens,Rennes,1,1,D,1,0,H,15,10,4,5,15,10,11,0,2,1,0,0
Nantes,Monaco,3,3,D,2,1,H,3,27,3,10,8,7,1,10,2,2,0,0
Marseille,Brest,2,0,H,1,0,H,15,18,6,7,4,8,3,10,0,1,0,0
Paris SG,Lens,3,1,H,1,0,H,17,12,7,4,8,16,5,5,0,5,0,0
Rennes,Le Havre,2,2,D,2,1,H,22,7,8,3,5,7,5,2,1,2,0,1
Clermont,Metz,0,1,A,0,0,D,16,10,4,5,8,10,10,2,1,1,0,0
Montpellier,Reims,1,3,A,1,2,A,19,12,3,6,9,19,5,3,1,1,0,0
Strasbourg,Toulouse,2,0,H,0,0,D,11,7,3,1,16,17,3,3,1,3,0,0
Lorient,Lille,4,1,H,2,0,H,9,18,6,7,22,12,5,8,2,4,0,0
Nice,Lyon,0,0,D,0,0,D,21,6,4,1,8,14,7,2,1,4,0,0
Nantes,Marseille,1,1,D,1,1,D,10,26,2,9,7,13,2,7,0,2,1,0
Brest,Rennes,0,0,D,0,0,D,13,6,2,3,12,12,7,5,3,1,0,0
Monaco,Lens,3,0,H,2,0,H,11,12,6,1,21,16,5,2,4,2,0,0
Toulouse,Clermont,2,2,D,2,1,H,9,15,5,3,19,17,0,8,1,3,0,0
Le Havre,Lorient,3,0,H,0,0,D,17,9,6,2,10,7,5,4,0,0,0,0
Lille,Montpellier,1,0,H,1,0,H,15,9,6,5,15,14,5,5,2,1,0,0
Metz,Reims,2,2,D,1,1,D,12,12,4,2,10,17,4,1,0,4,0,0
Nice,Strasbourg,2,0,H,1,0,H,16,4,6,0,7,12,5,2,2,1,0,0
Lyon,Paris SG,1,4,A,0,4,A,19,22,8,8,9,5,5,2,2,2,0,0
Paris SG,Nice,2,3,A,1,1,D,12,14,3,8,8,17,4,3,2,5,0,0
Rennes,Lille,2,2,D,0,1,A,7,10,4,6,11,16,5,2,1,4,0,0
Lens,Metz,0,1,A,0,1,A,31,2,10,2,12,12,9,1,1,2,0,0
Lorient,Monaco,2,2,D,1,1,D,10,20,3,7,13,14,8,6,0,1,0,0
Clermont,Nantes,0,1,A,0,0,D,16,8,3,5,16,16,6,3,2,2,0,0
Reims,Brest,1,2,A,1,0,H,13,18,7,7,7,11,8,8,2,4,0,0
Strasbourg,Montpellier,2,2,D,0,2,A,14,11,7,4,17,17,2,4,4,6,0,0
Marseille,Toulouse,0,0,D,0,0,D,24,10,6,3,9,11,6,1,2,5,0,0
Lyon,Le Havre,0,0,D,0,0,D,23,7,7,0,13,12,6,1,3,2,0,0
Monaco,Nice,0,1,A,0,0,D,9,13,3,7,13,15,5,2,1,1,0,0
Nantes,Lorient,5,3,H,1,1,D,19,10,9,7,8,17,4,2,1,3,0,0
Brest,Lyon,1,0,H,0,0,D,27,6,11,3,17,16,10,1,3,1,0,0
Metz,Strasbourg,0,1,A,0,0,D,13,4,1,1,16,15,1,1,2,0,0,0
Le Havre,Clermont,2,1,H,2,1,H,9,11,3,4,15,17,1,3,2,3,0,0
Lens,Toulouse,2,1,H,1,1,D,27,7,7,2,16,15,9,4,2,1,0,0
Montpellier,Rennes,0,0,D,0,0,D,13,18,4,6,10,15,3,6,2,1,0,0
Paris SG,Marseille,4,0,H,2,0,H,15,6,5,0,11,14,8,3,0,3,0,0
Lille,Reims,1,2,A,0,2,A,14,4,3,4,4,19,4,2,1,2,0,0
Strasbourg,Lens,0,1,A,0,1,A,8,9,2,2,16,15,2,3,2,4,0,0
Clermont,Paris SG,0,0,D,0,0,D,12,21,3,10,11,16,6,9,2,3,0,0
Monaco,Marseille,3,2,H,2,2,D,10,8,7,4,17,15,2,6,4,4,0,0
Reims,Lyon,2,0,H,1,0,H,8,11,3,6,19,14,1,5,2,2,0,0
Le Havre,Lille,0,2,A,0,1,A,5,16,0,6,18,6,6,6,0,0,0,0
Nice,Brest,0,0,D,0,0,D,12,7,1,2,13,9,6,4,1,3,0,0
Toulouse,Metz,3,0,H,2,0,H,15,8,10,3,10,7,4,6,3,0,0,0
Lorient,Montpellier,0,3,A,0,1,A,14,14,3,8,13,6,8,3,2,1,0,0
Rennes,Nantes,3,1,H,1,1,D,16,10,5,3,11,17,6,4,3,6,0,1
Strasbourg,Nantes,1,2,A,0,0,D,11,16,3,7,15,12,3,11,4,0,0,0
Metz,Nice,0,1,A,0,1,A,10,7,3,4,9,10,1,4,0,1,0,0
Reims,Monaco,1,3,A,0,1,A,11,11,4,4,10,14,10,5,0,3,0,0
Marseille,Le Havre,3,0,H,2,0,H,14,7,6,1,6,16,4,3,0,3,0,1
Brest,Toulouse,1,1,D,0,1,A,13,9,2,3,18,18,3,5,2,2,0,0
Lyon,Lorient,3,3,D,3,1,H,9,6,6,5,22,10,5,2,0,0,0,0
Lens,Lille,1,1,D,0,1,A,14,8,5,3,14,16,8,5,2,4,0,0
Rennes,Paris SG,1,3,A,0,2,A,14,17,4,7,12,15,1,7,1,0,0,0
Le Havre,Lens,0,0,D,0,0,D,14,13,5,7,16,9,3,3,2,3,0,0
Paris SG,Strasbourg,3,0,H,2,0,H,8,7,4,1,11,10,1,6,2,0,0,0
Nice,Marseille,1,0,H,0,0,D,10,9,2,1,13,6,4,2,4,3,0,1
Lorient,Rennes,2,1,H,2,1,H,5,20,4,6,5,14,6,16,0,2,0,0
Lille,Brest,1,0,H,1,0,H,6,9,4,1,12,13,3,5,2,3,0,0
Nantes,Montpellier,2,0,H,1,0,H,14,11,5,6,16,13,4,3,2,1,0,0
Toulouse,Reims,1,1,D,0,0,D,11,15,5,4,18,15,5,7,2,0,0,0
Monaco,Metz,2,1,H,1,1,D,27,8,13,4,12,11,10,2,1,3,0,0
Lyon,Clermont,1,2,A,0,2,A,25,12,6,5,16,12,10,3,4,6,0,0
Clermont,Nice,0,1,A,0,0,D,8,11,3,5,14,12,2,2,0,2,0,0
Reims,Lorient,1,0,H,0,0,D,12,9,5,1,16,7,4,4,1,3,0,0
Lens,Nantes,4,0,H,1,0,H,11,11,7,1,12,17,4,1,1,2,0,0
Brest,Paris SG,2,3,A,1,2,A,20,17,5,10,14,10,9,5,3,4,0,0
Lille,Monaco,2,0,H,2,0,H,7,16,5,6,17,13,2,8,1,2,0,0
Metz,Le Havre,0,0,D,0,0,D,9,12,3,1,13,15,5,6,2,2,0,0
Montpellier,Toulouse,3,0,H,1,0,H,19,16,6,5,13,15,3,4,2,3,0,0
Rennes,Strasbourg,1,1,D,1,0,H,20,11,3,3,14,16,7,5,2,2,0,0
Paris SG,Montpellier,3,0,H,1,0,H,21,7,10,2,10,13,9,2,1,0,0,0
Lorient,Lens,0,0,D,0,0,D,7,14,2,7,10,14,1,5,3,3,0,0
Marseille,Lille,0,0,D,0,0,D,8,10,3,1,10,12,2,8,2,3,0,0
Lyon,Metz,1,1,D,0,0,D,15,10,4,5,16,14,4,9,1,1,0,0
Nantes,Reims,0,1,A,0,0,D,17,7,4,4,5,11,10,6,1,2,0,0
Strasbourg,Clermont,0,0,D,0,0,D,18,10,5,2,11,5,4,6,2,0,1,0
Toulouse,Le Havre,1,2,A,0,0,D,17,15,5,7,9,12,4,6,2,2,0,0
Monaco,Brest,2,0,H,1,0,H,12,15,6,1,15,11,6,4,2,4,0,1
Nice,Rennes,2,0,H,1,0,H,16,11,4,4,7,12,2,1,0,2,1,1
Montpellier,Nice,0,0,D,0,0,D,9,15,1,4,11,15,3,7,0,4,0,0
Reims,Paris SG,0,3,A,0,1,A,19,14,6,6,14,6,8,4,1,0,0,0
Le Havre,Monaco,0,0,D,0,0,D,9,10,5,4,10,18,2,4,2,3,0,0
Clermont,Lorient,1,0,H,0,0,D,17,10,6,3,15,10,5,4,3,2,0,0
Lille,Toulouse,1,1,D,1,0,H,13,2,6,1,12,16,11,1,3,4,0,0
Metz,Nantes,3,1,H,2,1,H,9,16,4,3,7,9,2,5,0,0,0,0
Rennes,Lyon,0,1,A,0,0,D,8,12,2,5,5,18,6,9,3,1,1,0
Lens,Marseille,1,0,H,0,0,D,14,8,3,2,19,15,4,5,2,2,0,0
Paris SG,Monaco,5,2,H,2,1,H,16,14,11,7,9,19,2,10,0,1,0,0
Clermont,Lens,0,3,A,0,1,A,13,16,4,10,16,17,2,4,2,3,1,1
Strasbourg,Marseille,1,1,D,1,1,D,15,16,7,3,14,16,7,11,1,2,0,0
Nice,Toulouse,1,0,H,0,0,D,8,19,3,3,9,19,4,2,0,4,0,0
Lorient,Metz,2,3,A,2,1,H,11,14,5,5,10,17,5,6,2,1,0,0
Montpellier,Brest,1,3,A,0,1,A,17,17,5,5,11,18,9,1,2,2,0,0
Nantes,Le Havre,0,0,D,0,0,D,19,6,3,0,10,17,10,5,1,2,0,1
Rennes,Reims,3,1,H,1,1,D,10,15,5,5,10,18,1,8,2,2,0,0
Lyon,Lille,0,2,A,0,2,A,11,15,5,8,17,5,3,5,2,2,0,0
Montpellier,Clermont,1,1,D,0,1,A,32,5,10,1,23,14,8,0,3,4,0,0
Reims,Strasbourg,2,1,H,2,0,H,13,10,4,3,7,7,4,5,1,1,0,0
Lens,Lyon,3,2,H,1,1,D,10,12,7,7,11,14,3,6,2,0,1,0
Nantes,Nice,1,0,H,1,0,H,13,13,4,6,15,18,5,6,3,0,0,0
Le Havre,Paris SG,0,2,A,0,1,A,22,9,7,5,11,9,9,2,2,1,0,1
Brest,Clermont,3,0,H,2,0,H,12,10,7,1,11,17,4,2,1,2,0,0
Monaco,Montpellier,2,0,H,1,0,H,27,9,9,4,15,13,8,2,2,3,0,1
Toulouse,Lorient,1,1,D,0,0,D,11,11,6,5,16,10,3,4,2,4,0,0
Lille,Metz,2,0,H,2,0,H,16,7,6,4,8,11,6,1,0,0,0,0
Marseille,Rennes,2,0,H,1,0,H,5,10,2,0,9,15,1,6,1,3,1,1
Marseille,Lyon,3,0,H,2,0,H,12,6,5,1,14,11,10,3,1,2,0,0
Brest,Strasbourg,1,1,D,1,0,H,13,9,3,5,11,18,6,0,1,0,0,0
Montpellier,Lens,0,0,D,0,0,D,18,13,4,5,16,11,4,3,2,3,0,0
Rennes,Monaco,1,2,A,0,0,D,15,12,5,5,9,22,5,5,3,6,0,1
Paris SG,Nantes,2,1,H,1,0,H,16,10,6,4,9,12,5,3,1,3,0,0
Nice,Reims,2,1,H,0,0,D,15,9,5,2,13,6,9,0,2,3,0,0
Clermont,Lille,0,0,D,0,0,D,16,12,5,3,18,9,3,6,2,2,0,0
Metz,Brest,0,1,A,0,0,D,6,4,3,3,14,16,3,2,3,2,0,0
Strasbourg,Le Havre,2,1,H,1,0,H,12,15,3,3,14,15,4,3,3,1,0,0
Lyon,Toulouse,3,0,H,2,0,H,15,16,7,6,15,15,2,1,2,3,0,0
Lorient,Marseille,2,4,A,1,4,A,15,18,9,8,17,17,4,6,5,3,0,1
Monaco,Lyon,0,1,A,0,0,D,19,5,4,2,13,12,6,1,1,2,0,0
Le Havre,Nice,3,1,H,2,0,H,9,13,5,6,13,9,2,9,3,2,1,1
Lens,Reims,2,0,H,1,0,H,7,14,2,3,9,10,4,7,0,1,0,0
Nantes,Brest,0,2,A,0,0,D,12,14,4,8,15,8,4,3,1,3,0,0
Lorient,Strasbourg,1,2,A,0,1,A,7,12,1,9,14,12,6,1,3,2,0,0
Metz,Montpellier,0,1,A,0,1,A,19,6,4,3,15,14,12,5,2,2,0,0
Toulouse,Rennes,0,0,D,0,0,D,15,11,6,4,17,14,4,4,3,2,0,0
Marseille,Clermont,2,1,H,2,0,H,15,5,6,2,12,14,4,1,0,3,0,0
Lille,Paris SG,1,1,D,0,0,D,15,10,3,2,9,19,8,8,1,1,0,0
Brest,Lorient,4,0,H,4,0,H,12,7,7,3,8,17,1,0,1,2,0,0
Clermont,Rennes,1,3,A,1,0,H,14,25,6,11,8,11,4,5,0,3,1,0
Lyon,Nantes,1,0,H,0,0,D,8,7,7,0,8,14,7,7,1,2,1,0
Montpellier,Marseille,1,1,D,1,0,H,12,17,6,4,21,13,5,10,2,1,0,0
Nice,Lens,2,0,H,0,0,D,14,10,5,3,14,11,5,6,2,2,0,0
Paris SG,Metz,3,1,H,0,0,D,13,3,5,1,6,9,5,5,0,1,0,0
Reims,Le Havre,1,0,H,1,0,H,22,4,7,1,7,6,6,2,1,1,0,1
Strasbourg,Lille,2,1,H,1,1,D,9,9,2,2,19,10,6,5,1,2,0,0
Toulouse,Monaco,1,2,A,1,2,A,20,12,5,4,17,10,4,5,2,3,0,1
Marseille,Strasbourg,1,1,D,1,0,H,8,18,2,4,11,10,6,4,3,2,0,0
Monaco,Reims,1,3,A,0,1,A,9,12,5,5,11,9,6,6,3,2,0,0
Rennes,Nice,2,0,H,1,0,H,15,9,5,2,13,11,6,6,1,0,0,0
Lille,Lorient,3,0,H,1,0,H,24,1,10,0,10,22,7,1,1,4,0,0
Brest,Montpellier,2,0,H,0,0,D,26,9,9,4,6,7,3,3,1,2,0,0
Metz,Toulouse,0,1,A,0,1,A,14,4,2,2,20,18,5,2,3,2,1,0
Nantes,Clermont,1,2,A,0,1,A,20,15,9,6,10,5,11,5,1,1,1,0
Le Havre,Lyon,3,1,H,1,0,H,14,9,7,2,15,4,3,7,1,0,0,2
Lens,Paris SG,0,2,A,0,1,A,17,15,5,7,10,8,5,6,0,1,1,0
Lyon,Rennes,2,3,A,0,3,A,12,11,6,5,15,12,3,2,2,2,0,0
Nice,Metz,1,0,H,0,0,D,15,2,9,1,10,13,5,2,1,1,0,0
Marseille,Monaco,2,2,D,1,2,A,22,6,9,5,11,12,10,1,1,3,0,2
Montpellier,Lille,0,0,D,0,0,D,12,12,7,0,13,16,5,2,4,3,0,1
Clermont,Strasbourg,1,1,D,0,1,A,14,6,6,2,12,16,5,2,1,3,0,0
Lorient,Le Havre,3,3,D,1,1,D,13,14,6,5,15,21,1,4,4,4,0,0
Reims,Nantes,0,0,D,0,0,D,10,7,1,5,8,16,6,2,3,2,0,0
Toulouse,Lens,0,2,A,0,1,A,13,13,4,5,11,14,10,7,3,3,0,0
Paris SG,Brest,2,2,D,2,0,H,10,9,4,6,12,10,7,0,5,3,1,0
Strasbourg,Paris SG,1,2,A,0,1,A,20,9,8,5,12,13,3,4,3,1,0,0
Rennes,Montpellier,2,1,H,1,0,H,9,17,3,9,17,12,5,3,4,3,0,0
Nantes,Lens,0,1,A,0,0,D,7,12,2,4,16,11,2,3,2,2,0,0
Monaco,Le Havre,1,1,D,0,0,D,17,3,5,0,16,11,9,4,3,2,0,0
Lille,Clermont,4,0,H,4,0,H,23,4,13,3,8,10,12,1,0,1,0,0
Metz,Lorient,1,2,A,1,1,D,10,12,3,4,12,13,4,3,3,1,0,0
Reims,Toulouse,2,3,A,0,3,A,17,9,5,4,13,16,10,6,2,3,0,0
Brest,Nice,0,0,D,0,0,D,17,13,2,1,12,12,3,5,3,1,0,0
Lyon,Marseille,1,0,H,1,0,H,12,8,7,1,14,10,3,2,2,1,0,0
Marseille,Metz,1,1,D,0,0,D,18,7,6,3,12,16,6,3,2,0,1,0
Lens,Strasbourg,3,1,H,2,1,H,10,19,6,5,14,14,4,5,2,1,0,0
Paris SG,Lille,3,1,H,2,1,H,16,10,8,3,12,10,6,8,2,3,0,0
Le Havre,Rennes,0,1,A,0,0,D,13,11,5,2,14,7,5,1,2,1,0,0
Clermont,Brest,1,1,D,0,0,D,7,15,2,9,12,13,2,4,2,4,1,1
Lorient,Reims,2,0,H,0,0,D,17,23,5,6,9,14,1,7,1,1,0,0
Toulouse,Nantes,1,2,A,0,1,A,16,5,3,2,10,13,12,0,2,1,0,0
Montpellier,Lyon,1,2,A,1,0,H,15,19,8,5,11,11,1,5,1,2,0,0
Nice,Monaco,2,3,A,1,1,D,15,9,5,5,17,14,8,2,5,4,1,0
Lyon,Nice,1,0,H,1,0,H,9,20,1,6,8,12,4,9,0,1,0,0
Lille,Le Havre,3,0,H,2,0,H,17,6,8,2,11,17,1,3,2,3,0,0
Nantes,Paris SG,0,2,A,0,0,D,12,12,7,2,10,12,3,8,1,0,0,0
Strasbourg,Lorient,1,3,A,0,2,A,18,13,4,6,13,12,9,4,3,1,1,0
Monaco,Toulouse,1,2,A,0,1,A,22,14,5,7,18,12,4,6,1,3,0,0
Montpellier,Metz,3,0,H,1,0,H,21,14,7,4,17,13,7,4,3,3,0,0
Rennes,Clermont,3,1,H,1,0,H,16,14,8,5,9,10,4,4,1,0,0,1
Reims,Lens,1,1,D,1,1,D,11,9,2,1,15,9,3,2,2,2,0,0
Brest,Marseille,1,0,H,0,0,D,15,9,5,2,14,9,6,4,3,1,1,0
Metz,Lyon,1,2,A,1,1,D,15,11,4,5,13,12,4,3,1,2,0,0
Lorient,Nantes,0,1,A,0,0,D,6,7,1,6,11,11,3,8,0,2,0,0
Strasbourg,Brest,0,3,A,0,2,A,6,15,2,8,21,10,0,4,3,0,0,0
Lens,Monaco,2,3,A,1,2,A,20,15,10,9,10,13,9,3,6,3,0,0
Le Havre,Reims,1,2,A,0,0,D,18,16,4,5,11,13,5,5,3,3,0,1
Nice,Clermont,0,0,D,0,0,D,23,13,4,5,8,12,8,1,2,1,0,0
Toulouse,Lille,3,1,H,0,1,A,14,12,4,2,20,10,6,8,2,0,0,0
Paris SG,Rennes,1,1,D,0,1,A,15,3,3,1,13,16,4,0,5,3,0,0
Marseille,Montpellier,4,1,H,2,1,H,16,9,6,4,8,12,7,4,2,4,0,0
Monaco,Paris SG,0,0,D,0,0,D,14,14,6,7,10,13,5,6,0,0,0,0
Reims,Lille,0,1,A,0,0,D,8,8,3,3,12,14,4,4,3,2,0,0
Clermont,Marseille,1,5,A,0,1,A,7,17,2,11,9,13,7,4,2,1,0,0
Toulouse,Nice,2,1,H,0,1,A,17,9,6,6,16,10,7,6,2,2,0,0
Brest,Le Havre,1,0,H,1,0,H,8,11,4,2,21,15,0,2,4,1,0,0
Montpellier,Strasbourg,2,2,D,0,0,D,21,12,7,4,12,17,8,4,1,3,0,0
Nantes,Metz,0,2,A,0,0,D,9,13,2,4,7,11,10,3,3,2,0,0
Rennes,Lorient,1,2,A,0,0,D,22,12,6,6,12,9,6,3,1,2,0,0
Lyon,Lens,0,3,A,0,1,A,13,18,4,8,5,15,2,4,0,2,1,0
Nice,Montpellier,1,2,A,1,2,A,19,7,5,2,13,11,8,5,1,2,0,0
Lorient,Lyon,0,2,A,0,0,D,9,13,0,6,10,7,4,7,0,0,0,0
Lens,Brest,1,0,H,1,0,H,6,9,2,3,13,10,2,4,1,2,0,0
Paris SG,Reims,2,2,D,2,2,D,19,8,6,3,10,12,7,2,2,2,0,0
Le Havre,Toulouse,1,0,H,0,0,D,12,5,4,0,12,17,3,3,1,1,0,0
Metz,Clermont,1,0,H,1,0,H,11,13,2,6,10,10,5,7,1,3,0,0
Strasbourg,Monaco,0,1,A,0,0,D,8,17,1,6,9,15,5,8,1,3,0,0
Lille,Rennes,2,2,D,0,2,A,15,11,8,3,17,20,6,3,5,2,0,0
Marseille,Nantes,2,0,H,1,0,H,12,10,4,3,11,16,2,8,2,3,0,0
Toulouse,Lyon,2,3,A,0,1,A,13,18,5,6,18,12,5,3,2,2,0,0
Nantes,Strasbourg,1,3,A,1,1,D,11,11,2,6,16,15,4,5,2,3,0,0
Lens,Nice,1,3,A,0,1,A,20,7,4,3,9,12,11,3,4,3,0,0
Brest,Lille,1,1,D,0,0,D,16,13,4,8,9,12,3,3,3,0,0,0
Clermont,Le Havre,2,1,H,2,1,H,9,14,4,5,13,17,3,5,3,5,1,1
Monaco,Lorient,2,2,D,1,1,D,23,11,8,6,21,8,10,8,3,1,1,1
Reims,Metz,2,1,H,1,1,D,17,12,7,4,17,10,7,7,4,4,0,0
Rennes,Marseille,2,0,H,1,0,H,7,8,4,1,9,12,4,5,1,3,0,0
Montpellier,Paris SG,2,6,A,2,2,D,12,16,7,9,9,13,7,4,0,3,0,0
Lille,Lens,2,1,H,1,0,H,15,9,6,3,13,17,5,5,3,3,0,0
Metz,Monaco,2,5,A,0,3,A,13,17,7,7,8,8,5,5,0,0,0,0
Lyon,Reims,1,1,D,0,0,D,16,17,3,5,7,10,7,8,2,3,0,0
Lorient,Brest,0,1,A,0,0,D,11,10,5,2,10,18,6,4,1,3,0,1
Clermont,Toulouse,0,3,A,0,1,A,15,11,5,5,15,12,12,3,3,1,0,0
Le Havre,Montpellier,0,2,A,0,0,D,14,14,3,5,10,12,6,6,2,2,0,0
Nice,Nantes,1,2,A,0,1,A,12,13,3,4,7,19,9,3,2,5,0,0
Strasbourg,Rennes,2,0,H,0,0,D,14,12,7,0,10,17,4,5,1,2,0,0
Marseille,Paris SG,0,2,A,0,0,D,22,8,10,3,10,8,5,3,0,4,0,1
Lille,Marseille,3,1,H,0,0,D,14,13,6,4,13,18,4,2,1,6,0,0
Lens,Le Havre,1,1,D,0,0,D,18,11,8,3,13,10,7,4,2,5,0,0
Paris SG,Clermont,1,1,D,0,1,A,23,6,7,3,11,7,17,2,1,0,0,0
Brest,Metz,4,3,H,3,1,H,24,8,10,6,11,17,8,5,0,1,0,0
Montpellier,Lorient,2,0,H,0,0,D,13,19,5,5,11,18,5,7,3,6,0,0
Reims,Nice,0,0,D,0,0,D,10,18,3,3,15,15,2,5,2,1,0,0
Toulouse,Strasbourg,0,0,D,0,0,D,11,8,2,1,16,17,4,3,2,0,0,0
Monaco,Rennes,1,0,H,1,0,H,16,12,5,7,16,17,6,3,3,1,1,1
Nantes,Lyon,1,3,A,1,0,H,14,19,6,10,8,14,5,5,2,2,0,0
Metz,Lens,2,1,H,2,1,H,11,17,5,2,11,17,5,2,2,5,0,0
Strasbourg,Reims,3,1,H,1,1,D,13,8,6,2,9,18,5,4,1,3,0,1
Rennes,Toulouse,1,2,A,1,2,A,19,10,4,3,20,18,8,4,3,3,0,0
Le Havre,Nantes,0,1,A,0,0,D,10,12,1,4,14,12,6,7,3,2,0,0
Clermont,Montpellier,1,1,D,1,0,H,10,14,2,6,12,14,3,4,1,1,0,0
Lyon,Brest,4,3,H,1,0,H,16,22,8,7,12,7,10,7,5,5,1,1
Nice,Lorient,3,0,H,1,0,H,19,9,10,4,11,7,2,3,0,2,0,0
Nantes,Rennes,0,3,A,0,0,D,6,14,4,5,16,11,3,7,1,4,0,0
Lens,Clermont,1,0,H,1,0,H,17,8,4,1,17,17,4,3,1,4,0,0
Le Havre,Metz,0,1,A,0,0,D,16,9,4,2,9,19,4,2,2,3,0,0
Lille,Strasbourg,1,0,H,1,0,H,6,8,2,2,11,19,4,4,2,3,0,0
Reims,Montpellier,1,2,A,0,1,A,22,12,4,5,15,10,8,4,3,3,0,0
Brest,Monaco,0,2,A,0,1,A,12,8,2,3,8,9,7,4,5,2,0,2
Toulouse,Marseille,2,2,D,1,1,D,10,11,3,3,11,13,7,4,1,2,0,0
Paris SG,Lyon,4,1,H,4,1,H,14,16,6,6,9,10,4,10,0,0,0,0
Lorient,Paris SG,1,4,A,0,2,A,11,15,6,7,8,7,3,6,1,1,0,0
Marseille,Nice,2,2,D,1,1,D,11,10,4,4,10,14,3,2,2,3,1,0
Monaco,Lille,1,0,H,0,0,D,19,13,7,4,9,9,7,5,1,2,0,0
Lyon,Ajaccio,2,1,H,2,1,H,11,8,6,4,10,18,4,3,1,6,1,1
Strasbourg,Monaco,1,2,A,0,1,A,11,24,7,11,18,15,3,7,0,2,0,0
Clermont,Paris SG,0,5,A,0,3,A,7,18,1,12,13,13,0,6,2,1,0,0
Toulouse,Nice,1,1,D,1,0,H,6,11,4,4,10,8,6,3,1,2,0,0
Angers,Nantes,0,0,D,0,0,D,16,14,6,4,15,13,3,6,3,3,0,0
Lens,Brest,3,2,H,1,0,H,17,6,7,4,16,14,6,3,2,4,0,0
Lille,Auxerre,4,1,H,3,0,H,16,10,7,2,10,9,7,2,2,1,0,0
Montpellier,Troyes,3,2,H,2,2,D,17,15,6,10,13,10,3,6,1,0,0,0
Rennes,Lorient,0,1,A,0,0,D,21,8,6,2,11,5,7,2,3,1,0,0
Marseille,Reims,4,1,H,2,0,H,16,16,6,6,14,10,6,7,2,0,0,0
Nantes,Lille,1,1,D,1,0,H,10,16,1,5,14,10,5,11,1,4,0,0
Monaco,Rennes,1,1,D,0,0,D,12,24,4,8,6,11,1,6,0,3,1,0
Paris SG,Montpellier,5,2,H,2,0,H,20,7,10,4,15,18,11,0,2,1,0,0
Ajaccio,Lens,0,0,D,0,0,D,9,12,2,3,16,18,1,3,5,2,0,0
Auxerre,Angers,2,2,D,2,1,H,11,11,4,2,10,16,4,5,5,3,1,0
Reims,Clermont,2,4,A,2,0,H,9,10,6,5,18,8,1,6,3,3,1,0
Troyes,Toulouse,0,3,A,0,1,A,12,10,2,4,14,19,6,6,2,1,0,0
Nice,Strasbourg,1,1,D,1,0,H,13,9,3,5,7,13,7,3,1,4,0,0
Brest,Marseille,1,1,D,0,1,A,17,5,5,2,10,15,7,5,1,4,0,0
Lyon,Troyes,4,1,H,1,1,D,16,4,8,1,9,7,4,5,0,1,0,0
Monaco,Lens,1,4,A,1,2,A,12,14,5,6,18,13,3,5,4,0,1,0
Marseille,Nantes,2,1,H,0,0,D,16,12,5,3,15,6,7,4,5,1,1,0
Strasbourg,Reims,1,1,D,1,0,H,12,12,3,6,12,16,5,4,1,4,0,0
Angers,Brest,1,3,A,0,2,A,7,11,5,7,9,10,3,6,2,0,1,0
Clermont,Nice,1,0,H,1,0,H,7,13,2,4,4,21,3,6,1,2,0,2
Montpellier,Auxerre,1,2,A,1,0,H,13,7,7,2,10,13,7,2,1,3,2,2
Toulouse,Lorient,2,2,D,1,1,D,16,14,8,4,14,10,3,6,2,1,0,0
Rennes,Ajaccio,2,1,H,1,0,H,16,10,7,3,13,11,4,8,5,2,2,0
Lille,Paris SG,1,7,A,0,4,A,16,16,10,9,13,8,2,4,2,1,0,0
Ajaccio,Lille,1,3,A,0,2,A,13,7,2,4,13,13,6,0,3,2,0,0
Auxerre,Strasbourg,1,0,H,1,0,H,7,14,3,4,4,6,2,5,0,1,0,0
Lens,Rennes,2,1,H,0,0,D,17,12,4,6,15,13,7,2,0,1,0,0
